"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 28 17:56:28 UTC 2025","Tue Oct 28 17:56:29 UTC 2025","332","PlayerController Test Suite","Player API Tests","com.spribe.tests.GetPlayerTest","com.spribe.tests.GetPlayerTest","testGetPlayerWithNonExistentId","Get player with non-existent ID - negative test","Verify that getting player with non-existent ID returns appropriate error"
"passed","Tue Oct 28 17:56:40 UTC 2025","Tue Oct 28 17:56:41 UTC 2025","1317","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeleteOtherAdminByAdmin","Admin tries to delete another admin - negative test","Verify that admin cannot delete other admins"
"failed","Tue Oct 28 17:56:27 UTC 2025","Tue Oct 28 17:56:27 UTC 2025","332","PlayerController Test Suite","Player API Tests","com.spribe.tests.GetPlayerTest","com.spribe.tests.GetPlayerTest","testGetPlayerWithNegativeId","Get player with negative ID - negative test","Verify that getting player with negative ID returns appropriate error"
"passed","Tue Oct 28 17:56:40 UTC 2025","Tue Oct 28 17:56:41 UTC 2025","990","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeleteOwnProfileByUser","Delete own profile by user - negative test","Verify that user cannot delete their own profile"
"failed","Tue Oct 28 17:56:40 UTC 2025","Tue Oct 28 17:56:40 UTC 2025","333","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerWithShortPassword","Update player with short password - negative test","Verify that player cannot be updated with password shorter than 7 characters"
"passed","Tue Oct 28 17:56:45 UTC 2025","Tue Oct 28 17:56:46 UTC 2025","1632","PlayerController Test Suite","Player API Tests","com.spribe.tests.IntegrationTest","com.spribe.tests.IntegrationTest","testMultipleSequentialUpdates","Multiple sequential updates","Verify that player can be updated multiple times"
"passed","Tue Oct 28 17:56:24 UTC 2025","Tue Oct 28 17:56:24 UTC 2025","339","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithAgeBelowMin","Create player with age below minimum (15) - negative test","Verify that player cannot be created with age below 16"
"passed","Tue Oct 28 17:56:34 UTC 2025","Tue Oct 28 17:56:35 UTC 2025","333","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerPasswordBySupervisor","Update player password by supervisor - positive test","Verify that supervisor can update player password"
"passed","Tue Oct 28 17:56:30 UTC 2025","Tue Oct 28 17:56:31 UTC 2025","661","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerAgeBySupervisor","Update player age by supervisor - positive test","Verify that supervisor can update player age"
"failed","Tue Oct 28 17:56:26 UTC 2025","Tue Oct 28 17:56:26 UTC 2025","335","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithPasswordNoLetters","Create player with password without letters - negative test","Verify that player cannot be created with password without letters"
"failed","Tue Oct 28 17:56:38 UTC 2025","Tue Oct 28 17:56:38 UTC 2025","324","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerWithInvalidGender","Update player with invalid gender - negative test","Verify that player cannot be updated with invalid gender"
"failed","Tue Oct 28 17:56:26 UTC 2025","Tue Oct 28 17:56:26 UTC 2025","349","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithLongPassword","Create player with long password - negative test","Verify that player cannot be created with password longer than 15 characters"
"passed","Tue Oct 28 17:56:30 UTC 2025","Tue Oct 28 17:56:31 UTC 2025","998","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdateOwnProfileByUser","Update own profile by user - positive test","Verify that user can update their own profile"
"failed","Tue Oct 28 17:56:27 UTC 2025","Tue Oct 28 17:56:27 UTC 2025","675","PlayerController Test Suite","Player API Tests","com.spribe.tests.GetPlayerTest","com.spribe.tests.GetPlayerTest","testGetPlayerMultipleTimes","Get player multiple times - positive test","Verify that player can be retrieved multiple times with consistent data"
"failed","Tue Oct 28 17:56:36 UTC 2025","Tue Oct 28 17:56:36 UTC 2025","325","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerWithAgeAboveMax","Update player with invalid age above maximum - negative test","Verify that player cannot be updated with age above 60"
"failed","Tue Oct 28 17:56:26 UTC 2025","Tue Oct 28 17:56:26 UTC 2025","340","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithPasswordSpecialChars","Create player with password with special characters - negative test","Verify that player cannot be created with password containing special characters"
"failed","Tue Oct 28 17:56:32 UTC 2025","Tue Oct 28 17:56:33 UTC 2025","661","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerByUserForbidden","Update player by user without permissions - negative test","Verify that user cannot update other players"
"passed","Tue Oct 28 17:56:29 UTC 2025","Tue Oct 28 17:56:39 UTC 2025","10777","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdateMultipleFields","Update multiple fields at once - positive test","Verify that multiple fields can be updated in a single request"
"passed","Tue Oct 28 17:56:25 UTC 2025","Tue Oct 28 17:56:26 UTC 2025","336","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithInvalidRole","Create player with invalid role - negative test","Verify that player cannot be created with role other than 'admin' or 'user'"
"failed","Tue Oct 28 17:56:45 UTC 2025","Tue Oct 28 17:56:46 UTC 2025","972","PlayerController Test Suite","Player API Tests","com.spribe.tests.IntegrationTest","com.spribe.tests.IntegrationTest","testPasswordBoundaryLengths","Test password boundary lengths","Verify that password length validation works correctly"
"passed","Tue Oct 28 17:56:43 UTC 2025","Tue Oct 28 17:56:43 UTC 2025","330","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeletePlayerWithNegativeId","Delete player with negative ID - negative test","Verify that deleting player with negative ID returns appropriate error"
"failed","Tue Oct 28 17:56:32 UTC 2025","Tue Oct 28 17:56:33 UTC 2025","326","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerByAdmin","Update player by admin - positive test","Verify that admin can update user role players"
"failed","Tue Oct 28 17:56:43 UTC 2025","Tue Oct 28 17:56:44 UTC 2025","664","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeleteUserByAdmin","Delete user by admin - positive test","Verify that admin can delete users with 'user' role"
"failed","Tue Oct 28 17:56:27 UTC 2025","Tue Oct 28 17:56:27 UTC 2025","345","PlayerController Test Suite","Player API Tests","com.spribe.tests.GetPlayerTest","com.spribe.tests.GetPlayerTest","testGetPlayerByValidId","Get existing player by valid ID - positive test","Verify that player can be retrieved by valid player ID"
"passed","Tue Oct 28 17:56:21 UTC 2025","Tue Oct 28 17:56:24 UTC 2025","2699","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerByUserForbidden","Create player by user without permissions - negative test","Verify that user role cannot create new players"
"failed","Tue Oct 28 17:56:43 UTC 2025","Tue Oct 28 17:56:44 UTC 2025","656","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeleteUserBySupervisor","Delete user by supervisor - positive test","Verify that supervisor can delete users with 'user' role"
"failed","Tue Oct 28 17:56:26 UTC 2025","Tue Oct 28 17:56:26 UTC 2025","346","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithMaxAge","Create player with maximum valid age (60)","Verify that player can be created with age 60 (boundary value)"
"failed","Tue Oct 28 17:56:21 UTC 2025","Tue Oct 28 17:56:23 UTC 2025","1928","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerByAdmin","Create player with admin role - positive test","Verify that admin can successfully create a user"
"failed","Tue Oct 28 17:56:24 UTC 2025","Tue Oct 28 17:56:25 UTC 2025","393","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithFemaleGender","Create player with female gender","Verify that player can be created with female gender"
"passed","Tue Oct 28 17:56:47 UTC 2025","Tue Oct 28 17:56:48 UTC 2025","993","PlayerController Test Suite","Player API Tests","com.spribe.tests.IntegrationTest","com.spribe.tests.IntegrationTest","testUpdateWithNoChanges","Update with no changes","Verify that update with no actual changes works correctly"
"failed","Tue Oct 28 17:56:21 UTC 2025","Tue Oct 28 17:56:24 UTC 2025","2335","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerBySupervisor","Create player with supervisor role - positive test","Verify that supervisor can successfully create a user"
"failed","Tue Oct 28 17:56:42 UTC 2025","Tue Oct 28 17:56:43 UTC 2025","658","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeletePlayerTwice","Delete player twice - negative test","Verify that deleting already deleted player returns appropriate error"
"passed","Tue Oct 28 17:56:40 UTC 2025","Tue Oct 28 17:56:42 UTC 2025","1312","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeletePlayerByUserForbidden","Delete player by user - negative test","Verify that user role cannot delete any players"
"failed","Tue Oct 28 17:56:45 UTC 2025","Tue Oct 28 17:56:45 UTC 2025","324","PlayerController Test Suite","Player API Tests","com.spribe.tests.IntegrationTest","com.spribe.tests.IntegrationTest","testBoundaryAges","Test boundary ages (16 and 60)","Verify that boundary values work correctly"
"failed","Tue Oct 28 17:56:26 UTC 2025","Tue Oct 28 17:56:26 UTC 2025","345","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithMinAge","Create player with minimum valid age (16)","Verify that player can be created with age 16 (boundary value)"
"failed","Tue Oct 28 17:56:45 UTC 2025","Tue Oct 28 17:56:45 UTC 2025","656","PlayerController Test Suite","Player API Tests","com.spribe.tests.IntegrationTest","com.spribe.tests.IntegrationTest","testConcurrentPlayerCreation","Concurrent player creation with same data","Verify system handles concurrent requests properly"
"passed","Tue Oct 28 17:56:24 UTC 2025","Tue Oct 28 17:56:25 UTC 2025","674","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithDuplicateScreenName","Create player with duplicate screenName - negative test","Verify that player cannot be created with duplicate screenName"
"failed","Tue Oct 28 17:56:39 UTC 2025","Tue Oct 28 17:56:40 UTC 2025","659","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeleteAdminBySupervisor","Delete admin by supervisor - positive test","Verify that supervisor can delete users with 'admin' role"
"passed","Tue Oct 28 17:56:43 UTC 2025","Tue Oct 28 17:56:44 UTC 2025","988","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeleteSelfByAdmin","Delete admin by another admin - possible permission test","Verify that admin can delete themselves (admin role)"
"failed","Tue Oct 28 17:56:46 UTC 2025","Tue Oct 28 17:56:58 UTC 2025","11637","PlayerController Test Suite","Player API Tests","com.spribe.tests.IntegrationTest","com.spribe.tests.IntegrationTest","testPlayerFullLifecycle","Full lifecycle: Create, Get, Update, Delete player","Verify complete lifecycle of a player through all operations"
