"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 28 17:53:20 UTC 2025","Tue Oct 28 17:53:20 UTC 2025","292","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerWithNonExistentId","Update player with non-existent ID - negative test","Verify that update fails for non-existent player ID"
"failed","Tue Oct 28 17:53:09 UTC 2025","Tue Oct 28 17:53:09 UTC 2025","309","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithShortPassword","Create player with short password - negative test","Verify that player cannot be created with password shorter than 7 characters"
"passed","Tue Oct 28 17:53:07 UTC 2025","Tue Oct 28 17:53:07 UTC 2025","304","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithAgeBelowMin","Create player with age below minimum (15) - negative test","Verify that player cannot be created with age below 16"
"failed","Tue Oct 28 17:53:08 UTC 2025","Tue Oct 28 17:53:09 UTC 2025","304","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithLongPassword","Create player with long password - negative test","Verify that player cannot be created with password longer than 15 characters"
"failed","Tue Oct 28 17:53:24 UTC 2025","Tue Oct 28 17:53:25 UTC 2025","588","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeletePlayerTwice","Delete player twice - negative test","Verify that deleting already deleted player returns appropriate error"
"failed","Tue Oct 28 17:53:07 UTC 2025","Tue Oct 28 17:53:07 UTC 2025","624","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithDuplicateLogin","Create player with duplicate login - negative test","Verify that player cannot be created with duplicate login"
"failed","Tue Oct 28 17:53:03 UTC 2025","Tue Oct 28 17:53:06 UTC 2025","3422","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerBySupervisor","Create player with supervisor role - positive test","Verify that supervisor can successfully create a user"
"failed","Tue Oct 28 17:53:14 UTC 2025","Tue Oct 28 17:53:15 UTC 2025","291","PlayerController Test Suite","Player API Tests","com.spribe.tests.UpdatePlayerTest","com.spribe.tests.UpdatePlayerTest","testUpdatePlayerByAdmin","Update player by admin - positive test","Verify that admin can update user role players"
"failed","Tue Oct 28 17:53:07 UTC 2025","Tue Oct 28 17:53:07 UTC 2025","303","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithFemaleGender","Create player with female gender","Verify that player can be created with female gender"
"passed","Tue Oct 28 17:53:25 UTC 2025","Tue Oct 28 17:53:25 UTC 2025","2","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeleteSupervisorBySupervisorShouldFail","Delete supervisor by supervisor - BUG - negative test","BUG: Verify that supervisor cannot delete other supervisors"
