"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 28 17:42:17 UTC 2025","Tue Oct 28 17:42:18 UTC 2025","216","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithPasswordNoLetters","Create player with password without letters - negative test","Verify that player cannot be created with password without letters"
"failed","Tue Oct 28 17:42:17 UTC 2025","Tue Oct 28 17:42:17 UTC 2025","207","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithLongPassword","Create player with long password - negative test","Verify that player cannot be created with password longer than 15 characters"
"failed","Tue Oct 28 17:42:17 UTC 2025","Tue Oct 28 17:42:18 UTC 2025","203","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithPasswordNoNumbers","Create player with password without numbers - negative test","Verify that player cannot be created with password without numbers"
"passed","Tue Oct 28 17:42:16 UTC 2025","Tue Oct 28 17:42:17 UTC 2025","220","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithAgeBelowMin","Create player with age below minimum (15) - negative test","Verify that player cannot be created with age below 16"
"failed","Tue Oct 28 17:42:17 UTC 2025","Tue Oct 28 17:42:18 UTC 2025","209","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithMinAge","Create player with minimum valid age (16)","Verify that player can be created with age 16 (boundary value)"
"failed","Tue Oct 28 17:42:17 UTC 2025","Tue Oct 28 17:42:17 UTC 2025","419","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithDuplicateLogin","Create player with duplicate login - negative test","Verify that player cannot be created with duplicate login"
"passed","Tue Oct 28 17:42:28 UTC 2025","Tue Oct 28 17:42:28 UTC 2025","194","PlayerController Test Suite","Player API Tests","com.spribe.tests.DeletePlayerTest","com.spribe.tests.DeletePlayerTest","testDeleteNonExistentPlayer","Delete non-existent player - negative test","Verify that deleting non-existent player returns appropriate error"
"passed","Tue Oct 28 17:42:35 UTC 2025","Tue Oct 28 17:42:36 UTC 2025","774","PlayerController Test Suite","Player API Tests","com.spribe.tests.IntegrationTest","com.spribe.tests.IntegrationTest","testUserOwnAccountPermissions","User can update own data but not delete","Verify user role permissions on own account"
"passed","Tue Oct 28 17:42:16 UTC 2025","Tue Oct 28 17:42:17 UTC 2025","230","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithAgeAboveMax","Create player with age above maximum (61) - negative test","Verify that player cannot be created with age above 60"
"failed","Tue Oct 28 17:42:17 UTC 2025","Tue Oct 28 17:42:17 UTC 2025","202","PlayerController Test Suite","Player API Tests","com.spribe.tests.CreatePlayerTest","com.spribe.tests.CreatePlayerTest","testCreatePlayerWithMaxAge","Create player with maximum valid age (60)","Verify that player can be created with age 60 (boundary value)"
